"","isocode","country","cont","ggdp","gpop","open60","sav60","lxrd60","lxrdav","savav","openav","lgdp60","lpop60"
"1","GHA","Ghana","Africa",2.99076414108276,2.57738876342773,67.8661346435547,60.5274848937988,0.852251887321472,0.600432455539703,13.394326210022,42.2270812988281,-0.634748101234436,1.93993282318115
"2","MAR","Morocco","Africa",2.45359754562378,2.21420741081238,46.2772903442383,9.33262634277344,0.503584325313568,0.91877681016922,11.5905447006226,47.4012641906738,0.515019178390503,2.51958441734314
"3","COM","Comoros","Africa",-0.014581935480237,2.87832903862,57.5387115478516,6.70040941238403,1.90222895145416,1.48277151584625,11.4460983276367,57.0305862426758,0.555128931999207,-1.69882118701935
"4","MLI","Mali","Africa",0.75542151927948,2.16501641273499,42.1343231201172,4.30808877944946,1.91655397415161,1.203253865242,8.40594673156738,48.4120216369629,0.0205639731138945,1.50099670886993
"5","GAB","Gabon","Africa",1.2687041759491,2.52171444892883,72.4521789550781,20.3579578399658,1.31505846977234,0.710293889045715,7.7388710975647,94.919189453125,2.07314014434814,-0.807429611682892
"6","LSO","Lesotho","Africa",2.85750412940979,1.91494560241699,43.9940567016602,1.06966936588287,1.22618865966797,1.19675469398499,17.1026840209961,109.542831420898,-0.309027701616287,-0.152509167790413
"7","CMR","Cameroon","Africa",0.641088724136353,2.42432951927185,70.1889038085938,2.79754710197449,1.11607539653778,0.739912390708923,4.87772607803345,49.4302177429199,0.889916360378265,1.72432959079742
"8","RWA","Rwanda","Africa",0.000428296683821827,2.23239374160767,17.9952907562256,0.933945119380951,1.62574017047882,1.21133089065552,2.3674783706665,24.0639228820801,0.286924451589584,1.10915780067444
"9","SEN","Senegal","Africa",-0.286246180534363,2.74012589454651,31.368444442749,3.03204870223999,0.79562783241272,0.812100470066071,5.28833723068237,58.9328689575195,0.819403231143951,1.18473124504089
"10","BFA","Burkina Faso","Africa",0.593047618865967,2.30156970024109,27.3018760681152,2.61431312561035,0.952575743198395,0.993771135807037,8.76893520355225,40.4607772827148,-0.0292743016034365,1.58223032951355
"11","ZAF","South Africa","Africa",1.16772794723511,2.22143340110779,54.4210166931152,8.75710868835449,0.821956396102905,0.725960433483124,9.4182653427124,48.4212341308594,1.82353830337524,2.85742688179016
"12","NER","Niger","Africa",-0.882268905639648,2.91707229614258,18.8976974487305,1.84217464923859,0.981407225131989,0.979570865631104,5.66986036300659,42.2372932434082,0.420076459646225,1.15297317504883
"13","TCD","Chad","Africa",-0.683823645114899,2.54465055465698,40.5637245178223,4.58092308044434,0.943437457084656,1.007972240448,7.01545333862305,53.7846527099609,0.353829562664032,1.11261487007141
"14","GMB","Gambia, The","Africa",0.710750579833984,3.39241743087769,71.3005523681641,1.62017464637756,0.911052167415619,0.891763925552368,6.60431432723999,89.9093475341797,-0.100868046283722,-1.04425764083862
"15","MOZ","Mozambique","Africa",0.698630750179291,2.15205931663513,20.4894943237305,1.56133723258972,-0.0719083324074745,0.633203387260437,2.82787656784058,32.5991592407227,0.0593823902308941,2.01119351387024
"16","UGA","Uganda","Africa",0.548697054386139,2.93547677993774,79.1102600097656,1.7636604309082,1.37781965732574,0.80035400390625,2.5935595035553,41.0151977539062,0.126389473676682,1.98263621330261
"17","COG","Congo, Republic of","Africa",0.687337875366211,2.76031136512756,125.67195892334,55.4313774108887,0.514386355876923,0.482519388198853,25.0284233093262,117.576843261719,0.242017865180969,-0.0711266025900841
"18","EGY","Egypt","Africa",2.71599078178406,2.41341137886047,37.460865020752,11.5395174026489,0.929938197135925,0.982101202011108,10.0939674377441,46.8318061828613,0.623453438282013,3.2901394367218
"19","GIN","Guinea","Africa",-0.409368574619293,2.62172174453735,59.870979309082,4.32860279083252,1.22668886184692,1.31695258617401,7.60406112670898,54.9341773986816,1.34613931179047,1.10794126987457
"20","GNQ","Equatorial Guinea","Africa",4.85282468795776,1.66258919239044,174.697830200195,1.91508221626282,0.518993675708771,0.74994683265686,7.50995826721191,109.352012634277,0.177011951804161,-1.41113221645355
"21","NGA","Nigeria","Africa",-0.0393469631671906,2.82848191261292,31.2492523193359,2.57874917984009,1.04255616664886,0.341682970523834,6.0907187461853,43.2684593200684,0.343893647193909,3.68686723709106
"22","BEN","Benin","Africa",0.724820137023926,2.85102200508118,29.1260051727295,8.99532318115234,0.69505912065506,0.80960351228714,8.52798652648926,57.5015716552734,0.193164393305779,0.720316231250763
"23","CPV","Cape Verde","Africa",3.13759756088257,1.78197753429413,86.9329299926758,23.444486618042,0.84015679359436,0.914355993270874,15.0272245407104,77.3219757080078,0.591863036155701,-1.62572991847992
"24","TGO","Togo","Africa",-0.0123775070533156,3.1008722782135,38.2806282043457,5.2733359336853,0.554237246513367,0.810562431812286,9.94594478607178,67.7022857666016,0.062669113278389,0.3756243288517
"25","MWI","Malawi","Africa",1.50805175304413,2.86958503723145,55.606616973877,5.47439956665039,0.67313814163208,0.958690106868744,9.85135364532471,58.4408187866211,-0.516113936901093,1.23850286006927
"26","ETH","Ethiopia","Africa",1.5036484003067,2.37266850471497,20.0167713165283,3.34766554832458,0.815573155879974,1.0270608663559,3.53039312362671,27.917797088623,-0.664416134357452,3.18851852416992
"27","KEN","Kenya","Africa",0.141803473234177,3.28157544136047,61.1797790527344,13.0523586273193,1.00941455364227,0.958773136138916,11.3620567321777,59.7437782287598,0.429598182439804,2.0988552570343
"28","ZWE","Zimbabwe","Africa",0.82930725812912,2.7781457901001,77.0517120361328,16.7043399810791,0.916956841945648,1.09648716449738,13.2125301361084,61.677661895752,1.08828210830688,1.38902390003204
